Category: All categories

Day,bitcoin: (Worldwide)
2018-02-01,61
2018-02-02,79
2018-02-03,52
2018-02-04,45
2018-02-05,79
2018-02-06,100
2018-02-07,63
2018-02-08,51
2018-02-09,47
2018-02-10,38
2018-02-11,34
2018-02-12,38
2018-02-13,35
2018-02-14,35
2018-02-15,38
2018-02-16,35
2018-02-17,32
2018-02-18,34
2018-02-19,31
2018-02-20,34
2018-02-21,35
2018-02-22,32
2018-02-23,29
2018-02-24,25
2018-02-25,23
2018-02-26,26
2018-02-27,27
2018-02-28,26
2018-03-01,24
2018-03-02,24
2018-03-03,23
2018-03-04,21
2018-03-05,23
2018-03-06,24
2018-03-07,27
2018-03-08,26
2018-03-09,30
2018-03-10,22
2018-03-11,22
2018-03-12,24
2018-03-13,23
2018-03-14,27
2018-03-15,30
2018-03-16,25
2018-03-17,23
2018-03-18,27
2018-03-19,26
2018-03-20,24
2018-03-21,23
2018-03-22,23
2018-03-23,21
2018-03-24,18
2018-03-25,18
2018-03-26,25
2018-03-27,23
2018-03-28,21
2018-03-29,25
2018-03-30,28
2018-03-31,21
2018-04-01,22
2018-04-02,24
2018-04-03,22
2018-04-04,21
2018-04-05,22
2018-04-06,23
2018-04-07,19
2018-04-08,18
2018-04-09,21
2018-04-10,21
2018-04-11,18
2018-04-12,23
2018-04-13,24
2018-04-14,18
2018-04-15,17
2018-04-16,19
2018-04-17,18
2018-04-18,18
2018-04-19,18
2018-04-20,19
2018-04-21,18
2018-04-22,17
2018-04-23,19
2018-04-24,23
2018-04-25,21
2018-04-26,18
2018-04-27,18
2018-04-28,15
2018-04-29,15
2018-04-30,16
2018-05-01,16
2018-05-02,16
2018-05-03,17
2018-05-04,16
2018-05-05,17
2018-05-06,16
2018-05-07,17
2018-05-08,17
2018-05-09,15
2018-05-10,16
2018-05-11,19
2018-05-12,15
2018-05-13,14
2018-05-14,16
2018-05-15,15
2018-05-16,15
2018-05-17,15
2018-05-18,14
2018-05-19,12
2018-05-20,12
2018-05-21,14
2018-05-22,14
2018-05-23,18
2018-05-24,17
2018-05-25,14
2018-05-26,12
2018-05-27,13
2018-05-28,15
2018-05-29,15
2018-05-30,14
2018-05-31,13
2018-06-01,13
2018-06-02,12
2018-06-03,12
2018-06-04,13
2018-06-05,13
2018-06-06,13
2018-06-07,13
2018-06-08,12
2018-06-09,11
2018-06-10,15
2018-06-11,20
2018-06-12,17
2018-06-13,18
2018-06-14,16
2018-06-15,14
2018-06-16,12
2018-06-17,12
2018-06-18,14
2018-06-19,13
2018-06-20,13
2018-06-21,12
2018-06-22,15
2018-06-23,13
2018-06-24,15
2018-06-25,14
2018-06-26,13
2018-06-27,13
2018-06-28,13
2018-06-29,16
2018-06-30,14
